threshold,precision,recall,f1
0.9773918390720524,0.997946611909651,0.8491555037856727,0.9175582127123978
0.9775699339278427,0.9979452054794521,0.848573092603378,0.917217500786906
0.9775790421317359,0.997943797121316,0.8479906814210832,0.9168765743073047
0.9778267366137465,0.9979423868312757,0.8474082702387886,0.916535433070866
0.9780075598850373,0.9979409746053535,0.8468258590564939,0.9161940768746061
0.9781273109395475,0.9979353062629044,0.844496214327315,0.914826498422713
0.9783178553990802,0.9979338842975206,0.8439138031450204,0.9144840643736193
0.978356051579629,0.9979324603721571,0.8433313919627257,0.914141414141414
0.9785071270258554,0.9979310344827587,0.842748980780431,0.9137985475213136
0.9786051172102397,0.9979296066252588,0.8421665695981363,0.9134554643082755
0.9786135084963976,0.9979281767955801,0.8415841584158416,0.9131121642969984
0.9786558054831876,0.9979267449896337,0.8410017472335469,0.9127686472819218
0.9793819817900312,0.9979253112033195,0.8404193360512522,0.9124249130572242
0.979627081772647,0.9979238754325259,0.8398369248689574,0.9120809614168247
0.9796904085097,0.9979224376731302,0.8392545136866628,0.9117367921543814
0.9797920409694411,0.997920997920998,0.8386721025043681,0.9113924050632912
0.979897703724768,0.9979195561719834,0.8380896913220733,0.9110477999366889
0.9800291498831804,0.9979181124219292,0.8375072801397787,0.9107029765674478
0.9800647454095732,0.9979152189020153,0.8363424577751892,0.9100126742712293
0.9803238491103071,0.997913769123783,0.8357600465928946,0.9096671949286846
0.980356265368585,0.9979123173277662,0.8351776354105999,0.9093214965123653
0.9804476678871745,0.9979108635097493,0.8345952242283052,0.9089755788138281
0.9808223108806297,0.9979094076655052,0.8340128130460105,0.9086294416243654
0.9809194253921554,0.997907949790795,0.8334304018637158,0.9082830847350047
0.9811318653285017,0.9979064898813678,0.8328479906814211,0.9079365079365079
0.9811377452648293,0.9979050279329609,0.8322655794991264,0.9075897110193712
0.9811508815224937,0.9979035639412998,0.8316831683168316,0.9072426937738246
0.9813819294365907,0.9979020979020979,0.831100757134537,0.9068954559898317
0.9815160593770067,0.9979006298110566,0.8305183459522423,0.9065479974570883
0.9815699854397845,0.9978991596638656,0.8299359347699475,0.9062003179650239
0.9817970658077999,0.9978976874562018,0.8293535235876529,0.9058524173027989
0.98180750174618,0.9978962131837307,0.8287711124053582,0.9055042952593064
0.9818311457375498,0.9978947368421053,0.8281887012230634,0.9051559516231699
0.9821408419148205,0.9978932584269663,0.8276062900407688,0.9048073861827445
0.982147036506953,0.9978917779339423,0.8270238788584741,0.9044585987261147
0.982202239418893,0.9978902953586498,0.8264414676761794,0.904109589041096
0.9822960906097508,0.9978888106966924,0.8258590564938847,0.9037603569152326
0.9823426996464734,0.997887323943662,0.82527664531159,0.9034109021357986
0.9825533098430957,0.9978858350951374,0.8246942341292953,0.903061224489796
0.982578746399299,0.9978843441466855,0.8241118229470006,0.9027113237639555
0.9827049999044594,0.9978828510938603,0.8235294117647058,0.9023611997447353
0.9827279276614266,0.9978813559322034,0.8229470005824112,0.9020108522183211
0.9828220822776783,0.9978798586572438,0.8223645894001165,0.9016602809706258
0.9828653438506678,0.9978783592644979,0.8217821782178217,0.9013094857872883
0.9831009213090052,0.9978768577494692,0.8211997670355271,0.9009584664536741
0.9831313993086029,0.9978753541076487,0.8206173558532324,0.9006072227548737
0.9831460568346417,0.9978738483345145,0.8200349446709376,0.9002557544757033
0.9832672891799106,0.997872340425532,0.819452533488643,0.8999040614007037
0.9832913729373486,0.9978708303761533,0.8188701223063483,0.8995521433141395
0.9833117305148403,0.9978693181818182,0.8182877111240536,0.8992
0.9838246451907978,0.997867803837953,0.8177052999417589,0.8988476312419974
0.9838511441247615,0.9978662873399715,0.8171228887594641,0.8984950368235671
0.9838699375003129,0.9978632478632479,0.8159580663948748,0.8977891701377764
0.9841210840377368,0.9978617248752673,0.81537565521258,0.8974358974358974
0.9841676321973064,0.9978601997146933,0.8147932440302854,0.8970823982045528
0.984242355449326,0.9978586723768736,0.8142108328479907,0.8967286722257858
0.984247943880066,0.9978571428571429,0.8136284216656959,0.8963747192813601
0.9843874701681439,0.997855611150822,0.8130460104834013,0.8960205391527599
0.9847141337474661,0.9978540772532188,0.8124635993011066,0.8956661316211877
0.9847790412581673,0.9978525411596277,0.8118811881188119,0.8953114964675659
0.9848693077923814,0.9978510028653295,0.8112987769365172,0.8949566334725344
0.9849060829037913,0.9978494623655914,0.8107163657542225,0.8946015424164524
0.9851055157335677,0.9978479196556671,0.8101339545719278,0.8942462230793957
0.9851692265711597,0.9978463747307968,0.8095515433896331,0.8938906752411576
0.9851841909443262,0.9978448275862069,0.8089691322073383,0.8935348986812479
0.9852248911658762,0.9978432782171099,0.8083867210250437,0.8931788931788932
0.9853054637077536,0.9978417266187051,0.807804309842749,0.892822658513035
